FID,CBGID,Name,System,OBJECTID,City,State,Type,PrimaryFue,SecFuel,USETYPE,CapSt,CapHW,CapCW,CHPCGCap,ExcessC,ExcessH,TYPE,wkt_geom,geom,latitude,longitude
0,758,San Diego State University, ,1,San Diego,CA,DES_CBG_pts,NG, ,College,34.7999999999999,0.0,14.0,14.3,0,0,DES_CBG,0101000020E610000026C51C56B1445DC0908BC73931634040,POINT (-117.0733237534483 32.77493974917809),32.77493974917809,-117.0733237534483
1,1892,East Bay Municipal Water District, ,2,Oakland,CA,DES_CBG_pts, , ,Downtown/Utility,0.0,0.0,0.63,6.0,0,0,DES_CBG,0101000020E61000007D578BC3C7935EC00D181070D6E84240,POINT (-122.3090676174888 37.81904412065351),37.81904412065351,-122.3090676174888
2,2392,California Institute Of Technology,Cal Tech -Central Utility Plant,3,Pasadena,CA,DES_CBG_pts,NG,Diesel Oil Backup,College,75.0,0.0,6.087999999999999,12.56,0,0,DES_CBG,0101000020E6100000FCB69B07F5875DC020019FB94D124140,POINT (-118.124330427232 34.14299698127638),34.14299698127638,-118.124330427232
3,2860,International Power Technology,San Jose State University,4,San Jose,CA,DES_CBG_pts,NG, ,College,197.474999999999,0.0,14.0,6.0,0,0,DES_CBG,0101000020E6100000ED4CF5217A785EC0D2212AE31CAB4240,POINT (-121.8824543853295 37.33681907231552),37.33681907231552,-121.8824543853295
4,2946,Saint Agnes Medical Center,Saint Agnes Medical Center,5,Fresno,CA,DES_CBG_pts,NG, ,Healthcare,11.919,0.0,10.5,7.0,0,0,DES_CBG,0101000020E6100000B6919BE821F15DC042A129ABB86A4240,POINT (-119.7676946181517 36.83376063854895),36.83376063854895,-119.7676946181517
5,3605,Eastern Municipal Water District, ,6,Perris,CA,DES_CBG_pts, , ,Downtown/Utility,0.0,879.0,1.575,5.4,0,0,DES_CBG,0101000020E6100000E6DCAA52E34B5DC00907890095E14040,POINT (-117.1857496899207 33.76235968294902),33.76235968294902,-117.1857496899207
6,3978,San Francisco International Airport, ,7,San Francisco,CA,DES_CBG_pts,NG, ,Airport,45.0,0.0,63.0,0.0,0,0,DES_CBG,0101000020E61000001CFF50B87F985EC0A40D4FD490CF4240,POINT (-122.3827954092962 37.62160734043144),37.62160734043144,-122.3827954092962
7,4727,State of California Franchise Tax Board, ,8,Sacramento,CA,DES_CBG_pts, , ,Gov,8.78999999999999,0.0,15.4,0.0,0,0,DES_CBG,0101000020E61000003DB80A98845F5EC07B75FCD7CA4A4340,POINT (-121.4924678902325 38.58431529833884),38.58431529833884,-121.4924678902325
8,5404,Childrens Hospital And Health Center,Childrens Hospital And Health Center,9,San Diego,CA,DES_CBG_pts,NG,O-Propane Backup,Healthcare,5.47,13.185,4.62,6.1,0,0,DES_CBG,0101000020E610000005FA1A2BD3495DC0F0098ED7AC654040,POINT (-117.1535136950916 32.79433721957673),32.79433721957673,-117.1535136950916
9,5842,NRG Energy Center - San Diego,San Diego Power & Cooling Company/Energy Factors,10,San Diego,CA,DES_CBG_pts,NG,Purchased Electricity,Downtown/Utility,3.253,0.0,25.55,1.5,0,0,DES_CBG,0101000020E6100000FA4E6053DF4A5DC094DAF502A95B4040,POINT (-117.1698807182801 32.71609532360631),32.71609532360631,-117.1698807182801
10,7553,JMI Realty,East Village District Plant,11,San Diego,CA,DES_CBG_pts, , ,Downtown/ Utility,0.0,0.0,42.7,0.0,0,0,DES_CBG,0101000020E6100000BC8A605AEC4A5DC0EA653572CA5C4040,POINT (-117.1706758444588 32.72492816550569),32.72492816550569,-117.1706758444588
11,8079,California State University - Sacramento, ,12,Sacramento,CA,DES_CBG_pts, , ,College,175.386,0.0,68.206,0.0,0,0,DES_CBG,0101000020E6100000A905D1890F5B5EC0BB589600AC474340,POINT (-121.4228233853561 38.55993659344809),38.55993659344809,-121.4228233853561
12,8821,California Polytechnic State University, ,13,San Luis Obispo,CA,DES_CBG_pts,NG, ,College,18.0,0.0,4.2,0.35,0,0,DES_CBG,0101000020E61000002F317AB0422A5EC02D046FF56FA64140,POINT (-120.6603203957827 35.30029170914381),35.30029170914381,-120.6603203957827
13,9096,Hoag Hospital,Hoag Hospital,14,Newport Beach,CA,DES_CBG_pts,NG, ,Healthcare,62.1,0.0,16.8,4.5,0,0,DES_CBG,0101000020E6100000D75459B6937B5DC0C5EBA47F1BD04040,POINT (-117.9308906433465 33.62583919098646),33.62583919098646,-117.9308906433465
14,9263,U.S. Marine Corps,Marine Air Ground Task Force Training Command,15,Twentynine Palms,CA,DES_CBG_pts,NG,Diesel,Military,0.0,10.255,27.09,7.2,0,0,DES_CBG,0101000020E61000000E6A588ED5085DC02DF5A765C73A4140,POINT (-116.1380344260617 34.45921011639653),34.45921011639653,-116.1380344260617
15,9513,University of California - Irvine, ,16,Irvine,CA,DES_CBG_pts,NG, ,College,159.63399999999902,0.0,62.07999999999989,0.0,0,0,DES_CBG,0101000020E61000000C812A7D3C765DC091C117DAADD24040,POINT (-117.8474419512824 33.64593053970305),33.64593053970305,-117.8474419512824
16,10158,Biola University, ,17,La Mirada,CA,DES_CBG_pts,NG, ,College,57.89999999999989,0.0,6.3,2.2,0,0,DES_CBG,0101000020E6100000B4C412F9FA805DC02482CFDA36F44040,POINT (-118.0153181727681 33.90792403347248),33.90792403347248,-118.0153181727681
17,10342,Cardinal Cogen,Stanford University,18,Stanford,CA,DES_CBG_pts,NG,Diesel Oil Backup,College,120.0,0.0,40.6,49.89999999999989,0,0,DES_CBG,0101000020E610000092B1C173658B5EC064FBCABC24B74240,POINT (-122.1780671493091 37.43080863867979),37.43080863867979,-122.1780671493091
18,10582,EMCOR - Morongo Casino,Morongo Cogen Facility,19,Cabazon,CA,DES_CBG_pts,NG,None,Downtown/Utility,0.0,17.5799999999999,12.6,8.19999999999999,0,0,DES_CBG,0101000020E6100000CE7BBD2C97315DC0BE3E2612CDF54040,POINT (-116.7748519754816 33.92032076709209),33.92032076709209,-116.7748519754816
19,10916,Sacramento International Airport, ,20,Sacramento,CA,DES_CBG_pts,NG, ,Airport,0.0,0.0,0.7,1.0,0,0,DES_CBG,0101000020E6100000687F682B99635EC0ABBD8096265A4340,POINT (-121.5562237282262 38.70430260931183),38.70430260931183,-121.5562237282262
20,11254,San Bernadino Valley College-North, ,21,San Bernardino,CA,DES_CBG_pts, , ,College,31.271,0.0,12.161,0.0,0,0,DES_CBG,0101000020E6100000951F3175ED535DC0B58C773F5A0B4140,POINT (-117.3113682727547 34.08869164788613),34.08869164788613,-117.3113682727547
21,11620,Occidental College, ,22,Los Angeles,CA,DES_CBG_pts,NG, ,College,2.91,0.0,3.5,0.0,0,0,DES_CBG,0101000020E610000066EB23BB538D5DC0B61550AE80104140,POINT (-118.2082355356957 34.12892702970878),34.12892702970878,-118.2082355356957
22,11655,University of Redlands, ,23,Redlands,CA,DES_CBG_pts,NG, ,College,0.0,2.745,12.6,1.5,0,0,DES_CBG,0101000020E61000009293041F904A5DC064E60B42C9074140,POINT (-117.1650464577381 34.06082940655759),34.06082940655759,-117.1650464577381
23,11756,Sutter Medical Center of Sactamento, ,24,Sacramento,CA,DES_CBG_pts, , ,Healthcare,1.492,0.0,17.5,0.0,0,0,DES_CBG,0101000020E61000002F1208D2F75B5EC010793B8F12494340,POINT (-121.4370007590121 38.57087889102888),38.57087889102888,-121.4370007590121
