 COUNTY , HMS TOTAL ,CANNERY,DEHYD.,FRESH/FROZ.,WINERY,BREWERY,DISTILLERY,RED MEAT,POULTRY MEAT,Unnamed: 10
 Alameda ," 30,265 ", 41 , 66 , 818 ," 4,115 "," 6,925 "," 12,003 "," 5,883 ", 414 ,
 Alpine , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Amador ," 1,175 ", -   , -   , -   ," 1,175 ", -   , -   , -   , -   ,
 Butte ," 34,089 ", 459 , 339 , -   , -   ," 33,292 ", -   , -   , -   ,
 Calaveras ," 1,081 ", -   , -   , -   ," 1,081 ", -   , -   , -   , -   ,
 Colusa , 205 , 205 , -   , -   , -   , -   , -   , -   , -   ,
 Contra Costa ," 1,518 ", -   , -   , 31 , 156 ," 1,332 ", -   , -   , -   ,
 Del Norte , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 El Dorado ," 1,299 ", -   , -   , -   ," 1,299 ", -   , -   , -   , -   ,
 Fresno ," 97,059 "," 2,679 "," 4,657 ", 385 ," 3,384 ", -   , -   ," 34,169 "," 51,785 ",
 Glenn , 620 , -   , -   , -   , -   , -   , -   , 620 , -   ,
 Humboldt ," 1,503 ", -   , -   , -   , 171 ," 1,332 ", -   , -   , -   ,
 Imperial ," 30,993 ", -   , -   , -   , -   , -   , -   ," 30,993 ", -   ,
 Inyo , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Kern ," 6,758 ", 512 , -   , 31 , 156 ," 6,059 ", -   , -   , -   ,
 Kings ," 16,987 "," 1,425 ", 66 , -   , -   , -   , -   ," 15,496 ", -   ,
 Lake ," 1,003 ", -   , -   , -   ," 1,003 ", -   , -   , -   , -   ,
 Lassen , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Los Angeles ," 184,764 ", 717 , 66 ," 5,206 "," 1,509 "," 88,755 "," 3,583 "," 74,569 "," 10,357 ",
 Madera ," 1,945 ", -   , -   , -   ," 1,945 ", -   , -   , -   , -   ,
 Marin ," 1,635 ", -   , -   , -   , 303 ," 1,332 ", -   , -   , -   ,
 Mariposa , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Mendocino ," 19,434 ", -   , -   , -   ," 5,717 "," 13,716 ", -   , -   , -   ,
 Merced ," 27,810 "," 1,839 ", 332 , 770 , 778 , -   , -   ," 3,377 "," 20,714 ",
 Modoc , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Mono ," 1,332 ", -   , -   , -   , -   ," 1,332 ", -   , -   , -   ,
 Monterey ," 2,861 ", -   , -   , 185 ," 2,676 ", -   , -   , -   , -   ,
 Napa ," 55,548 ", 512 , -   , -   ," 55,035 ", -   , -   , -   , -   ,
 Nevada , 202 , -   , -   , -   , 202 , -   , -   , -   , -   ,
 Orange ," 9,978 ", 41 , 66 , 303 , 156 ," 6,991 ", -   ," 2,006 ", 414 ,
 Placer , 264 , -   , -   , -   , 264 , -   , -   , -   , -   ,
 Plumas , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Riverside ," 16,653 ", 41 , 332 , 154 ," 5,865 "," 1,332 "," 3,583 ", 167 ," 5,179 ",
 Sacramento ," 4,136 "," 1,025 ", -   , -   , 560 ," 1,931 ", -   , 620 , -   ,
 San Benito ," 1,695 ", 512 , -   , -   ," 1,182 ", -   , -   , -   , -   ,
 San Bernardino ," 3,766 "," 1,447 ", 332 , 185 , 303 ," 1,332 ", -   , 167 , -   ,
 San Diego ," 61,646 ", -   , -   , 385 , 583 ," 60,058 ", -   , 620 , -   ,
 San Francisco ," 1,640 ", -   , -   , -   , 653 , 200 , -   , 787 , -   ,
 San Joaquin ," 23,957 "," 1,642 ", -   , 31 ," 11,917 ", -   , -   ," 4,505 "," 5,862 ",
 San Luis Obispo ," 15,767 ", -   , -   , -   ," 9,109 "," 6,658 ", -   , -   , -   ,
 San Mateo ," 3,830 ", 41 , -   , 31 , 459 ," 2,464 ", -   , 836 , -   ,
 Santa Barbara ," 13,670 ", -   , -   , 617 ," 7,460 "," 5,593 ", -   , -   , -   ,
 Santa Clara ," 8,405 ", 205 , 830 , 154 ," 3,796 ", -   , -   ," 3,420 ", -   ,
 Santa Cruz ," 2,957 ", 512 , -   , 154 ," 1,291 ", 999 , -   , -   , -   ,
 Shasta , 167 , -   , -   , -   , -   , -   , -   , 167 , -   ,
 Sierra , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Siskiyou ," 1,332 ", -   , -   , -   , -   ," 1,332 ", -   , -   , -   ,
 Solano ," 21,216 ", 41 , 830 , 31 , 156 ," 16,646 ", -   ," 3,099 ", 414 ,
 Sonoma ," 65,132 ", 223 , -   ," 1,540 "," 40,925 "," 16,646 ", -   , 620 ," 5,179 ",
 Stanislaus ," 50,499 "," 3,942 "," 1,965 ", -   ," 19,447 "," 1,332 ", -   ," 3,099 "," 20,714 ",
 Sutter ," 1,660 ", -   ," 1,660 ", -   , -   , -   , -   , -   , -   ,
 Tehama , 512 , 512 , -   , -   , -   , -   , -   , -   , -   ,
 Trinity , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Tulare ," 7,762 ", 857 , -   ," 1,571 ", 156 , -   , -   , -   ," 5,179 ",
