 COUNTY , HMS TOTAL ,CANNERY,DEHYD.,FRESH/ FROZ.,WINERY,BREWERY,DISTILLERY,RED MEAT,POULTRY MEAT,Unnamed: 10
 Alameda ," 52,435 ", 27 , 73 , 978 ," 4,240 "," 16,120 "," 27,943 "," 2,302 ", 751 ,
 Alpine , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Amador ," 1,210 ", -   , -   , -   ," 1,210 ", -   , -   , -   , -   ,
 Butte ," 78,177 ", 306 , 370 , -   , -   ," 77,500 ", -   , -   , -   ,
 Calaveras ," 1,114 ", -   , -   , -   ," 1,114 ", -   , -   , -   , -   ,
 Colusa , 137 , 137 , -   , -   , -   , -   , -   , -   , -   ,
 Contra Costa ," 3,297 ", -   , -   , 37 , 160 ," 3,100 ", -   , -   , -   ,
 Del Norte , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 El Dorado ," 1,339 ", -   , -   , -   ," 1,339 ", -   , -   , -   , -   ,
 Fresno ," 118,116 "," 1,787 "," 5,094 ", 461 ," 3,487 ", -   , -   ," 13,373 "," 93,914 ",
 Glenn , 243 , -   , -   , -   , -   , -   , -   , 243 , -   ,
 Humboldt ," 3,276 ", -   , -   , -   , 176 ," 3,100 ", -   , -   , -   ,
 Imperial ," 12,130 ", -   , -   , -   , -   , -   , -   ," 12,130 ", -   ,
 Inyo , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Kern ," 14,644 ", 342 , -   , 37 , 160 ," 14,105 ", -   , -   , -   ,
 Kings ," 7,088 ", 951 , 73 , -   , -   , -   , -   ," 6,065 ", -   ,
 Lake ," 1,034 ", -   , -   , -   ," 1,034 ", -   , -   , -   , -   ,
 Lassen , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Los Angeles ," 271,260 ", 479 , 73 ," 6,230 "," 1,555 "," 206,616 "," 8,341 "," 29,184 "," 18,783 ",
 Madera ," 2,004 ", -   , -   , -   ," 2,004 ", -   , -   , -   , -   ,
 Marin ," 3,413 ", -   , -   , -   , 313 ," 3,100 ", -   , -   , -   ,
 Mariposa , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Mendocino ," 37,822 ", -   , -   , -   ," 5,892 "," 31,930 ", -   , -   , -   ,
 Merced ," 42,200 "," 1,227 ", 363 , 921 , 802 , -   , -   ," 1,322 "," 37,566 ",
 Modoc , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Mono ," 3,100 ", -   , -   , -   , -   ," 3,100 ", -   , -   , -   ,
 Monterey ," 2,978 ", -   , -   , 221 ," 2,757 ", -   , -   , -   , -   ,
 Napa ," 57,053 ", 342 , -   , -   ," 56,711 ", -   , -   , -   , -   ,
 Nevada , 208 , -   , -   , -   , 208 , -   , -   , -   , -   ,
 Orange ," 18,435 ", 27 , 73 , 363 , 160 ," 16,275 ", -   , 785 , 751 ,
 Placer , 273 , -   , -   , -   , 273 , -   , -   , -   , -   ,
 Plumas , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Riverside ," 27,517 ", 27 , 363 , 184 ," 6,044 "," 3,100 "," 8,341 ", 65 ," 9,391 ",
 Sacramento ," 5,999 ", 684 , -   , -   , 577 ," 4,495 ", -   , 243 , -   ,
 San Benito ," 1,560 ", 342 , -   , -   ," 1,218 ", -   , -   , -   , -   ,
 San Bernardino ," 5,028 ", 966 , 363 , 221 , 313 ," 3,100 ", -   , 65 , -   ,
 San Diego ," 141,115 ", -   , -   , 461 , 601 ," 139,810 ", -   , 243 , -   ,
