 COUNTY ,LUMBER,Unnamed: 2,PAPER,Unnamed: 4,CARDBOARD,Unnamed: 6,GREEN,Unnamed: 8,FOOD,Unnamed: 10,FOG,Unnamed: 12,OTHER,Unnamed: 14
,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle
 Alameda ," 185,909 "," 56,155 "," 93,266 "," 46,633 "," 41,715 "," 19,361 "," 98,153 "," 59,555 "," 55,266 "," 17,049 ", 197 , 61 ," 93,735 "," 59,827 "
 Alpine , 101 , 50 , 83 , 41 , 37 , 17 , 87 , 73 , 49 , 15 , 0 , 0 , 119 , 76 
 Amador ," 3,742 "," 1,130 "," 1,877 ", 938 , 839 , 390 ," 1,975 "," 1,379 "," 1,112 ", 343 , 4 , 1 ," 2,177 "," 1,390 "
 Butte ," 24,261 "," 8,215 "," 13,644 "," 6,822 "," 6,103 "," 2,832 "," 14,359 "," 9,368 "," 8,085 "," 2,494 ", 26 , 8 ," 14,868 "," 9,490 "
 Calaveras ," 4,965 "," 1,440 "," 2,392 "," 1,196 "," 1,070 ", 497 ," 2,517 "," 1,668 "," 1,417 ", 437 , 5 , 2 ," 2,591 "," 1,654 "
 Colusa ," 2,753 "," 1,077 "," 1,788 ", 894 , 800 , 371 ," 1,882 "," 1,129 "," 1,060 ", 327 , 3 , 1 ," 1,720 "," 1,098 "
 Contra Costa ," 132,936 "," 35,843 "," 59,531 "," 29,765 "," 26,626 "," 12,358 "," 62,650 "," 36,919 "," 35,276 "," 10,882 ", 141 , 43 ," 58,003 "," 37,021 "
 Del Norte ," 2,666 ", 671 ," 1,114 ", 557 , 498 , 231 ," 1,173 ", 837 , 660 , 204 , 3 , 1 ," 1,387 ", 885 
 El Dorado ," 18,186 "," 5,851 "," 9,718 "," 4,859 "," 4,347 "," 2,017 "," 10,228 "," 7,087 "," 5,759 "," 1,777 ", 19 , 6 ," 11,492 "," 7,335 "
 Fresno ," 128,672 "," 40,966 "," 68,040 "," 34,020 "," 30,432 "," 14,125 "," 71,605 "," 40,249 "," 40,318 "," 12,438 ", 136 , 42 ," 60,903 "," 38,872 "
 Glenn ," 3,227 ", 959 ," 1,592 ", 796 , 712 , 331 ," 1,675 "," 1,055 ", 943 , 291 , 3 , 1 ," 1,676 "," 1,070 "
 Humboldt ," 11,915 "," 2,934 "," 4,873 "," 2,437 "," 2,180 "," 1,012 "," 5,129 "," 3,875 "," 2,888 ", 891 , 13 , 4 ," 6,502 "," 4,150 "
 Imperial ," 27,620 "," 12,117 "," 20,125 "," 10,063 "," 9,001 "," 4,178 "," 21,180 "," 11,461 "," 11,926 "," 3,679 ", 29 , 9 ," 16,217 "," 10,351 "
 Inyo ," 1,747 ", 695 ," 1,155 ", 577 , 516 , 240 ," 1,215 ", 890 , 684 , 211 , 2 , 1 ," 1,479 ", 944 
 Kern ," 140,970 "," 54,141 "," 89,922 "," 44,961 "," 40,219 "," 18,667 "," 94,633 "," 46,761 "," 53,285 "," 16,438 ", 149 , 46 ," 67,361 "," 42,994 "
 Kings ," 21,140 "," 5,445 "," 9,043 "," 4,521 "," 4,045 "," 1,877 "," 9,517 "," 5,195 "," 5,359 "," 1,653 ", 22 , 7 ," 7,792 "," 4,973 "
 Lake ," 7,956 "," 1,909 "," 3,171 "," 1,586 "," 1,418 ", 658 ," 3,338 "," 2,024 "," 1,879 ", 580 , 8 , 3 ," 3,092 "," 1,974 "
 Lassen ," 3,505 ", 829 ," 1,377 ", 689 , 616 , 286 ," 1,450 ", 992 , 816 , 252 , 4 , 1 ," 1,609 "," 1,027 "
 Los Angeles ," 1,009,997 "," 362,942 "," 602,802 "," 301,401 "," 269,616 "," 125,137 "," 634,386 "," 430,047 "," 357,201 "," 110,191 "," 1,068 ", 329 ," 704,039 "," 449,360 "
 Madera ," 23,933 "," 7,249 "," 12,040 "," 6,020 "," 5,385 "," 2,499 "," 12,671 "," 6,411 "," 7,135 "," 2,201 ", 25 , 8 ," 9,351 "," 5,968 "
 Marin ," 24,115 "," 7,018 "," 11,656 "," 5,828 "," 5,213 "," 2,420 "," 12,266 "," 8,484 "," 6,907 "," 2,131 ", 25 , 8 ," 14,470 "," 9,236 "
 Mariposa ," 1,813 ", 517 , 859 , 429 , 384 , 178 , 904 , 654 , 509 , 157 , 2 , 1 ," 1,006 ", 642 
 Mendocino ," 8,501 "," 2,213 "," 3,676 "," 1,838 "," 1,644 ", 763 ," 3,868 "," 2,684 "," 2,178 ", 672 , 9 , 3 ," 4,458 "," 2,845 "
 Merced ," 38,580 "," 14,564 "," 24,190 "," 12,095 "," 10,819 "," 5,022 "," 25,457 "," 13,218 "," 14,334 "," 4,422 ", 41 , 13 ," 19,819 "," 12,650 "
 Modoc , 821 , 185 , 308 , 154 , 138 , 64 , 324 , 249 , 182 , 56 , 1 , 0 , 410 , 262 
 Mono ," 1,479 ", 860 ," 1,428 ", 714 , 638 , 296 ," 1,502 "," 1,024 ", 846 , 261 , 2 , 0 ," 1,634 "," 1,043 "
 Monterey ," 45,722 "," 15,883 "," 26,379 "," 13,190 "," 11,799 "," 5,476 "," 27,761 "," 17,971 "," 15,631 "," 4,822 ", 48 , 15 ," 28,872 "," 18,428 "
 Napa ," 14,749 "," 5,359 "," 8,901 "," 4,451 "," 3,981 "," 1,848 "," 9,368 "," 6,159 "," 5,275 "," 1,627 ", 16 , 5 ," 9,991 "," 6,377 "
 Nevada ," 10,135 "," 2,929 "," 4,865 "," 2,432 "," 2,176 "," 1,010 "," 5,119 "," 3,406 "," 2,883 ", 889 , 11 , 3 ," 5,507 "," 3,515 "
 Orange ," 305,916 "," 121,547 "," 201,874 "," 100,937 "," 90,292 "," 41,907 "," 212,451 "," 146,883 "," 119,624 "," 36,902 ", 323 , 100 ," 241,764 "," 154,308 "
 Placer ," 49,816 "," 14,756 "," 24,508 "," 12,254 "," 10,962 "," 5,088 "," 25,792 "," 13,946 "," 14,523 "," 4,480 ", 53 , 16 ," 21,499 "," 13,722 "
 Plumas ," 1,536 ", 565 , 938 , 469 , 419 , 195 , 987 , 796 , 556 , 171 , 2 , 1 ," 1,366 ", 872 
 Riverside ," 305,860 "," 109,162 "," 181,304 "," 90,652 "," 81,092 "," 37,637 "," 190,804 "," 106,259 "," 107,435 "," 33,142 ", 323 , 100 ," 161,327 "," 102,969 "
 Sacramento ," 179,920 "," 59,740 "," 99,221 "," 49,611 "," 44,379 "," 20,598 "," 104,420 "," 60,884 "," 58,795 "," 18,138 ", 190 , 59 ," 95,054 "," 60,669 "
 San Benito ," 7,978 "," 2,993 "," 4,971 "," 2,485 "," 2,223 "," 1,032 "," 5,231 "," 2,866 "," 2,945 ", 909 , 8 , 3 ," 4,315 "," 2,754 "
 San Bernardino ," 263,374 "," 85,444 "," 141,912 "," 70,956 "," 63,473 "," 29,460 "," 149,348 "," 85,866 "," 84,093 "," 25,941 ", 278 , 86 ," 133,202 "," 85,017 "
 San Diego ," 347,379 "," 144,773 "," 240,450 "," 120,225 "," 107,546 "," 49,916 "," 253,049 "," 162,333 "," 142,483 "," 43,954 ", 367 , 113 ," 261,712 "," 167,040 "
 San Francisco ," 95,031 "," 25,733 "," 42,740 "," 21,370 "," 19,116 "," 8,872 "," 44,979 "," 28,228 "," 25,326 "," 7,813 ", 100 , 31 ," 44,562 "," 28,442 "
 San Joaquin ," 102,930 "," 39,579 "," 65,736 "," 32,868 "," 29,402 "," 13,646 "," 69,180 "," 35,381 "," 38,953 "," 12,016 ", 109 , 34 ," 54,049 "," 34,497 "
 San Luis Obispo ," 27,550 "," 10,358 "," 17,204 "," 8,602 "," 7,695 "," 3,571 "," 18,105 "," 12,338 "," 10,194 "," 3,145 ", 29 , 9 ," 19,932 "," 12,722 "
 San Mateo ," 81,302 "," 25,757 "," 42,778 "," 21,389 "," 19,134 "," 8,880 "," 45,020 "," 28,376 "," 25,349 "," 7,820 ", 86 , 27 ," 46,080 "," 29,411 "
 Santa Barbara ," 46,708 "," 16,115 "," 26,765 "," 13,382 "," 11,971 "," 5,556 "," 28,167 "," 18,255 "," 15,860 "," 4,893 ", 49 , 15 ," 29,306 "," 18,705 "
 Santa Clara ," 218,114 "," 62,779 "," 104,268 "," 52,134 "," 46,636 "," 21,645 "," 109,731 "," 66,301 "," 61,786 "," 19,060 ", 231 , 71 ," 105,351 "," 67,241 "
 Santa Cruz ," 27,028 "," 7,297 "," 12,119 "," 6,060 "," 5,421 "," 2,516 "," 12,754 "," 8,776 "," 7,182 "," 2,215 ", 29 , 9 ," 14,271 "," 9,109 "
