COUNTY,LAYERS,PULLETSLAYERREPL,BROILERS
Alameda,5.646675375,0.254737235,0.905732391
Alpine,(D),0,0
Amador,26.93138656,2.08743012,(D)
Butte,35.11835825,1.379826689,11.15183006
Calaveras,17.7183899,0.771287739,(D)
Colusa,1.769008576,(D),(D)
Contra Costa,23.03956769,0.849124116,0.912808425
Del Norte,8.073755141,0.566082744,2.313863217
El Dorado,38.96064488,4.634802469,3.45310474
Fresno,44.30305078,121.4035206,87585.31992
Glenn,10.83340852,1.967137537,2.009593742
Humboldt,21.71634928,1.393978758,3.941351107
Imperial,1.386902724,0,0
Inyo,2.066202017,(D),0
Kern,(D),(D),3.983807313
Kings,(D),2.250178909,(D)
Lake,29.92454907,12.71563364,(D)
Lassen,8.427556856,0.70760343,0.290117406
Los Angeles,25.32512677,17.14523112,3.226671643
Madera,9.036095806,0.884504288,4388.372498
Marin,81.14088536,17.0390906,4.330532994
Mariposa,7.302467402,1.075557214,8.102059278
Mendocino,29.35846633,4.224392479,4.479129714
Merced,24136.46623,5332.584364,(D)
Modoc,6.531179663,0.601462916,0.863276185
Mono,0.50947447,(D),(D)
Monterey,23.37214131,3.325736123,(D)
Napa,15.02242083,2.030821845,5.611295203
Nevada,36.48403287,3.608777495,(D)
Orange,3.113455094,(D),0
Placer,34.84946895,6.028781227,(D)
Plumas,5.186733145,0.106140515,0
Riverside,29205.99194,6410.674798,4.953224013
Sacramento,24.65290352,4.818779361,(D)
San Benito,10.62820352,0.318421544,(D)
San Bernardino,10292.76412,2265.880629,9.885219923
San Diego,16051.03563,(D),743.627521
San Francisco,0,0,0
San Joaquin,13102.28939,979.7547858,2320.2458
San Luis Obispo,48.45668291,5.016908322,3.743222147
San Mateo,13.49399742,1.981289605,(D)
Santa Barbara,23.27307683,7.323695505,13.09066346
Santa Clara,16.82680957,1.875149091,3.821058524
Santa Cruz,(D),2.74550131,(D)
Shasta,45.66164936,2.724273207,6.800068966
Sierra,1.174621694,(D),(D)
Siskiyou,25.98319796,2.030821845,15.94938132
Solano,(D),(D),86.27101023
Sonoma,(D),(D),(D)
Stanislaus,18042.59964,7968.010884,62149.91315
Sutter,6.849601206,0.389181887,0.50947447
Tehama,36.30713201,3.191291471,49.63838064
Trinity,10.37346629,2.717197173,21.41915584
Tulare,134.7559973,(D),(D)
Tuolumne,6.906209481,0.636843087,(D)
Ventura,33.39888191,4.089947828,2.667664933
Yolo,64.83062629,(D),23.22354459
Yuba,20.37190276,2.066202017,4.259772651
Other,22541.92435,9581.544834,141603.9427
Total," 134,450 "," 32,787 "," 299,093 "
