COUNTY,TOTAL FIELD ,BARLEY,CORN,SORGHUM,WHEAT,RYE,OATS,RICE,COTTON,SUNFLOWER,SAFFLOWER,BEANS & PEAS DRY,TRITICALE,FIELD OTHER,SEED OTHER,FIELD CROPS UNSP.,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Alameda, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
Alpine, 247 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 247 ,,,,,,,,,,
Amador," 131,810 ", -   , -   , -   , 562 , -   , -   ," 111,077 ", -   , -   , 65 , 352 , -   , -   ," 5,321 "," 14,433 ",,,,,,,,,,
Butte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
Calaveras," 193,724 ", -   ," 2,841 ", -   ," 15,260 ", -   , -   ," 158,478 ", -   ," 4,431 ", 744 , 833 , -   , -   ," 11,137 ", -   ,,,,,,,,,,
Colusa," 9,506 ", -   ," 5,598 ", -   , 756 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,152 ",,,,,,,,,,
Contra Costa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
Del Norte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
El Dorado," 74,350 ", 723 , -   , -   ," 9,315 ", -   , -   , -   ," 55,845 ", -   , -   , 797 , -   , -   ," 7,670 ", -   ,,,,,,,,,,
Fresno," 168,814 ", 450 ," 37,463 ", -   ," 16,103 ", -   ," 1,239 "," 104,652 "," 2,142 "," 2,261 ", -   , 421 , -   , -   ," 4,083 ", -   ,,,,,,,,,,
Glenn, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
