COUNTY,TOTAL FIELD ,BARLEY,CORN,SORGHUM,WHEAT,RYE,OATS,RICE,COTTON,SUNFLOWER,SAFFLOWER,BEANS & PEAS DRY,TRITICALE,FIELD OTHER,SEED OTHER,FIELD CROPS UNSP.
Alameda, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Alpine, 210 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 210 
Amador," 50,898 ", -   , -   , -   ," 3,814 ", -   , -   ," 35,562 ", -   , -   , 176 , 173 , -   , -   ," 4,747 "," 6,424 "
Butte, 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 
Calaveras," 192,148 ", 93 ," 6,537 ", -   ," 17,278 ", -   , -   ," 143,473 ", -   ," 6,165 "," 2,143 ", 894 , -   , -   ," 15,565 ", -   
Colusa," 16,190 ", -   ," 12,084 ", -   ," 1,227 ", -   , -   , -   , -   , -   , 91 , -   , -   , -   , -   ," 2,788 "
Contra Costa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Del Norte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
El Dorado," 153,710 "," 7,108 "," 4,776 ", -   ," 33,296 ", -   , 66 ," 4,704 "," 78,802 ", -   , -   , 914 , -   , -   ," 12,104 "," 11,939 "
Fresno," 148,879 ", 754 ," 37,463 ", -   ," 11,291 ", -   , 310 ," 88,291 "," 1,463 "," 3,102 ", 100 , 361 , -   , -   ," 3,836 "," 1,908 "
Glenn, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Humboldt, 157 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 157 
Imperial, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inyo," 69,903 "," 2,016 ", -   , -   ," 14,534 ", -   , -   , -   ," 48,786 ", -   , 610 , 187 , -   , -   ," 1,933 "," 1,836 "
Kern," 212,373 ", 37 ," 4,920 ", 277 ," 53,419 ", -   , -   , -   ," 116,470 ", -   ," 1,134 ", 215 , 198 , -   ," 5,541 "," 30,162 "
Kings," 1,514 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,514 "
Lake," 2,667 ", 75 , -   , -   ," 1,807 ", 45 , 35 , -   , -   , -   , -   , -   , 109 , 172 , 424 , -   
Lassen, 309 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 309 
Los Angeles," 8,419 ", -   ," 2,270 ", -   ," 4,427 ", -   , -   , -   , 386 , -   , -   , 29 , -   , -   , -   ," 1,307 "
Madera, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Marin, 118 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 118 
Mariposa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Mendocino," 131,108 ", 921 ," 45,461 ", -   ," 20,222 ", -   , -   ," 3,010 "," 54,391 ", -   , -   , 267 , -   , -   ," 5,773 "," 1,063 "
Merced," 9,019 "," 1,023 ", -   , -   ," 7,921 ", -   , 58 , -   , -   , -   , -   , 18 , -   , -   , -   , -   
Modoc, 628 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 628 
Mono," 2,334 ", -   , -   , -   , 828 , -   , -   , -   , -   , -   , -   , 89 , -   , -   , 618 , 800 
Monterey, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Napa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Nevada, 17 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 17 , -   , -   , -   , -   
Orange," 25,894 ", -   , -   , -   ," 1,269 ", -   , -   ," 23,700 ", -   , -   , -   , -   , -   , -   , -   , 925 
Placer, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Plumas," 28,477 ", 213 , -   , 33 ," 11,803 ", -   , 944 , -   ," 15,142 ", -   , -   , -   , -   , -   , -   , 342 
Riverside," 76,373 ", 193 ," 48,756 ", -   ," 8,471 "," 1,934 ", 794 ," 8,037 ", -   , 360 ," 2,253 ", 0 , -   , -   ," 3,054 "," 2,522 "
Sacramento," 1,332 ", 94 , -   , -   , 478 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 617 , 144 
San Benito," 1,333 ", 242 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,091 "
San Bernardino," 1,045 ", 355 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 690 
San Diego, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
San Francisco," 199,004 ", -   ," 119,878 ", -   ," 22,085 ", -   , -   ," 7,663 ", -   , -   ," 3,547 "," 5,277 ", -   , -   ," 1,704 "," 38,849 "
San Joaquin," 8,573 "," 5,417 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,155 "
San Luis Obispo, 171 , -   , -   , -   , -   , -   , 109 , -   , -   , -   , -   , 62 , -   , -   , -   , -   
San Mateo," 2,273 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 595 , -   , -   , 535 ," 1,144 "
Santa Barbara, 596 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 252 , 343 
Santa Clara, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Santa Cruz," 7,763 ", -   , -   , -   , -   , -   , -   ," 7,757 ", -   , -   , -   , -   , -   , -   , -   , 6 
Shasta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Sierra," 27,697 "," 3,694 ", -   , -   ," 15,728 "," 1,179 ", -   , -   , -   , -   , -   , -   , -   , -   , 905 ," 6,191 "
