COUNTY,TOTAL MANURE,COWSMILK,COWSBEEF,COWSOTHER, LAYERS , PULLETSlAYERREPL , BROILERS , TURKEYS , HOGSPIGS , GOATS , SHEEPLAMBS , EQUINE , MULESBURROSDONKEY 
Alameda," 30,612 ", -   ," 22,350.79 "," 5,662.20 ", 7 , 0 , 1 , -   , 4 , 71 , 134 ," 2,354 ", 27 
Alpine, 596 , -   , 497 , 99 , (D) , -   , -   , -   , -   , -   , -   , (D) , -   
Amador," 28,288 ", -   ," 21,854 "," 3,775 ", 32 , 2 , (D) , (D) , 2 , 555 , 73 ," 1,942 ", 52 
Butte," 31,633 "," 1,084 "," 19,619 "," 4,321 ", 41 , 2 , 16 , 4 , 530 , 446 , 438 ," 4,826 ", 306 
Calaveras," 30,616 ", -   ," 20,116 "," 4,470 ", 21 , 1 , (D) ," 1,444 ", 17 , 756 , 176 ," 3,261 ", 355 
Colusa," 29,581 ", -   ," 22,351 "," 5,364 ", 2 , (D) , (D) , (D) , 97 , 208 , 211 ," 1,235 ", 113 
Contra Costa," 43,371 ", -   ," 25,331 "," 11,225 ", 27 , 1 , 1 , 1 , 9 , (D) , 64 ," 6,552 ", 160 
Del Norte," 18,507 "," 9,598 "," 1,987 "," 6,457 ", 9 , 1 , 3 , 3 , 14 , 61 , 25 , 350 , (D) 
El Dorado," 21,222 ", -   ," 8,940 "," 3,576 ", 46 , 5 , 5 , 4 , 50 ," 1,033 ", 140 ," 6,966 ", 456 
Fresno," 829,062 "," 356,040 "," 40,231 "," 262,051 ", 52 , 142 ," 122,957 "," 24,160 ", 482 ," 2,219 "," 7,505 "," 12,392 ", 833 
Glenn," 114,965 "," 49,536 "," 33,278 "," 28,410 ", 13 , 2 , 3 , 0 , 51 , 349 , 359 ," 2,874 ", 89 
Humboldt," 112,594 "," 44,892 "," 37,500 "," 24,238 ", 25 , 2 , 6 , 4 , 73 , 930 , 478 ," 4,269 ", 177 
Imperial," 388,774 "," 14,604 "," 7,450 "," 359,881 ", 2 , -   , -   , -   , (D) , 95 ," 6,333 ", 385 , 25 
Inyo," 29,976 ", -   ," 24,338 "," 2,682 ", 2 , (D) , -   , -   , 3 , -   , 25 ," 2,731 ", 195 
Kern," 780,668 "," 495,360 "," 80,711 "," 181,290 ", (D) , (D) , 6 , 1 , 196 , 887 ," 12,792 "," 8,657 ", 769 
Kings," 826,439 "," 572,760 "," 14,156 "," 232,746 ", (D) , 3 , (D) , (D) , 19 ," 1,874 "," 1,954 "," 2,751 ", 177 
Lake," 9,771 ", -   ," 5,712 ", 695 , 35 , 15 , (D) , 2 , 35 , 548 , 143 ," 2,337 ", 249 
Lassen," 76,938 ", -   ," 60,844 "," 11,424 ", 10 , 1 , 0 , 1 , 17 , (D) , 892 ," 3,693 ", 57 
Los Angeles," 22,550 ", -   ," 2,483 "," 3,775 ", 30 , 20 , 5 , 5 , 40 , 399 , 112 ," 14,834 ", 848 
Madera," 379,687 "," 241,488 "," 34,271 "," 92,582 ", 11 , 1 ," 6,161 ", (D) , 67 , 301 , 172 ," 4,454 ", 180 
Marin," 71,022 "," 24,458 "," 24,834 "," 18,477 ", 95 , 20 , 6 , (D) , 26 , 994 , 596 ," 1,481 ", 35 
Mariposa," 24,973 ", -   , -   ," 21,357 ", 9 , 1 , 11 , (D) , 8 , 346 , 123 ," 2,951 ", 168 
Mendocino," 38,595 "," 2,477 "," 21,854 "," 7,351 ", 34 , 5 , 6 , 0 , 126 , 518 ," 1,199 "," 4,868 ", 155 
Merced," 1,234,151 "," 851,400 "," 67,052 "," 231,455 "," 28,237 "," 6,238 ", (D) ," 40,387 ", 97 ," 1,647 "," 2,596 "," 4,876 ", 168 
Modoc," 97,268 ", -   ," 76,986 "," 14,901 ", 8 , 1 , 1 , 0 , -   , 629 ," 1,503 "," 3,133 ", 106 
Mono," 10,036 ", -   ," 8,692 ", 695 , 1 , (D) , (D) , -   , (D) , 19 , 42 , 451 , 136 
Monterey," 88,382 "," 1,858 "," 49,668 "," 31,192 ", 27 , 4 , (D) , 11 , 11 , 199 , 349 ," 4,883 ", 180 
Napa," 10,997 ", -   , -   ," 8,543 ", 18 , 2 , 8 , 7 , 6 , 412 , 101 ," 1,822 ", 79 
Nevada," 13,259 ", -   ," 6,954 "," 1,391 ", 43 , 4 , (D) , 2 , 30 , 453 , 264 ," 3,826 ", 293 
Orange," 5,021 ", -   , 248 , 199 , 4 , (D) , -   , (D) , 5 , (D) , (D) ," 4,565 ", (D) 
Placer," 21,346 ", 929 , -   ," 11,622 ", 41 , 7 , (D) , 2 , 100 ," 1,049 ", 599 ," 6,409 ", 589 
Plumas," 15,983 ", -   , -   ," 15,000 ", 6 , 0 , -   , 2 , 2 , 14 , 27 , 885 , 47 
Riverside," 239,742 "," 122,292 "," 4,967 "," 33,278 "," 34,167 "," 7,500 ", 7 , 5 , 190 ," 1,589 "," 4,114 "," 31,269 ", 365 
Sacramento," 118,611 "," 41,177 "," 33,775 "," 25,927 ", 29 , 6 , (D) , (D) , 67 ," 2,370 ", 525 ," 14,388 ", 348 
San Benito," 55,674 ", -   ," 29,801 "," 21,357 ", 12 , 0 , (D) , (D) , (D) , 339 , 150 ," 3,907 ", 106 
San Bernardino," 248,504 "," 142,416 "," 9,685 "," 69,635 "," 12,041 "," 2,651 ", 14 , 12 , 171 , 612 , 75 ," 10,974 ", 217 
San Diego," 62,933 "," 5,573 "," 9,437 "," 5,364 "," 18,778 ", (D) ," 1,044 ", 8 , 282 , 732 , 319 ," 20,822 ", 574 
San Francisco, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (D) , -   
San Joaquin," 488,425 "," 309,600 "," 46,688 "," 100,529 "," 15,328 "," 1,146 "," 3,257 ", 3 , (D) , 887 ," 2,373 "," 8,386 ", 227 
San Luis Obispo," 117,013 ", -   ," 78,228 "," 20,364 ", 57 , 6 , 5 , 4 , 71 , 406 ," 1,482 "," 15,488 ", 902 
San Mateo," 10,734 ", -   ," 3,228 ", 795 , 16 , 2 , (D) , -   , 3 , 31 , 21 ," 6,601 ", 37 
Santa Barbara," 81,563 ", -   ," 37,748 "," 27,119 ", 27 , 9 , 18 , 2 , 111 , 275 , 61 ," 15,907 ", 286 
Santa Clara," 30,879 ", -   ," 19,371 "," 5,563 ", 20 , 2 , 5 , 1 , 10 , 199 , 138 ," 5,366 ", 205 
Santa Cruz," 7,283 ", -   , 993 ," 3,278 ", (D) , 3 , (D) , (D) , (D) ," 1,110 ", 358 ," 1,459 ", 81 
Shasta," 65,755 ", -   ," 36,258 "," 16,291 ", 53 , 3 , 10 , 2 , 38 ," 1,005 ", 189 ," 10,809 "," 1,097 "
Sierra," 12,076 ", -   ," 5,215 "," 6,258 ", 1 , (D) , (D) , (D) , (D) , -   , (D) , 601 , (D) 
Siskiyou," 100,875 "," 2,786 "," 74,503 "," 16,987 ", 30 , 2 , 22 , 5 , 152 , 302 , 390 ," 4,822 ", 873 
Solano," 95,365 "," 9,288 "," 46,440 "," 28,112 ", (D) , (D) , 121 , 2 , 30 ," 1,171 "," 6,514 "," 3,542 ", 145 
Sonoma," 182,011 "," 89,784 "," 29,553 "," 44,801 ", (D) , (D) , (D) , (D) , 166 ," 3,042 "," 3,151 "," 10,942 ", 572 
Stanislaus," 979,853 "," 557,280 "," 68,294 "," 191,223 "," 21,108 "," 9,322 "," 87,249 "," 24,434 ", (D) ," 6,535 ", 427 ," 13,447 ", 535 
Sutter," 14,984 ", -   ," 9,437 "," 2,086 ", 8 , 0 , 1 , (D) , 97 , 265 ," 1,067 "," 1,994 ", 30 
Tehama," 116,588 "," 9,907 "," 62,086 "," 30,596 ", 42 , 4 , 70 , 5 , 170 ," 1,941 ", 697 ," 10,163 ", 907 
Trinity," 10,086 ", -   ," 7,699 ", 894 , 12 , 3 , 30 , 0 , 123 , (D) , 45 ," 1,171 ", 108 
Tulare," 2,144,360 "," 1,501,559 "," 64,569 "," 555,293 ", 158 , (D) , (D) , (D) , (D) , 376 ," 10,437 "," 11,117 ", 850 
Tuolumne," 17,958 ", -   ," 12,417 "," 2,483 ", 8 , 1 , (D) , (D) , 15 , 379 , 109 ," 2,167 ", 380 
Ventura," 18,590 ", -   ," 8,692 "," 1,391 ", 39 , 5 , 4 , 1 , 30 , 100 , 119 ," 8,026 ", 182 
Yolo," 19,927 "," 3,096 ", -   ," 10,033 ", 76 , (D) , 33 , 599 , 118 , 317 ," 1,687 "," 3,698 ", 271 
Yuba," 33,814 "," 8,978 "," 13,162 "," 2,980 ", 24 , 2 , 6 , (D) , 38 , 499 , 755 ," 7,195 ", 173 
Other," 265,699 ", -   , -   , -   ," 26,371 "," 11,209 "," 198,791 "," 12,432 "," 14,528 "," 2,212 ", 15 , 123 , 17 
 Total ," 10,976,184 "," 5,470,217 "," 1,452,553 "," 2,829,544 "," 157,290 "," 38,357 "," 419,882 "," 103,558 "," 18,525 "," 43,705 "," 74,643 "," 351,400 "," 16,511 "
