COUNTY,TOTAL ORCH VINE CROP,APPLE,APRICOT,AVOCADO,EXOTIC,CHERRY,LEMON,CITRUS OTHER,DATE & FIG,KIWIFRUIT,NECTARINE,OLIVE,PEAR,PLUM,PEACH,ORANGE,UNSPEC.,GRAPE NON-WINE,GRAPE WINE
Alameda, 509 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 413 , -   , 96 
Alpine, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amador, 254 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 129 , -   , 125 
Butte," 10,359 ", -   , -   , -   , -   , -   , -   , 5 , -   , 21 , -   , -   , -   , 211 , 237 , -   ," 9,885 ", -   , -   
Calaveras, 26 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , 22 
Colusa," 5,730 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , -   , -   ," 5,554 ", -   , 168 
Contra Costa, 243 , -   , 4 , -   , -   , 2 , -   , -   , -   , -   , 1 , 5 , -   , 2 , 9 , -   , 113 , 106 , -   
Del Norte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
El Dorado, 84 , 26 , -   , -   , -   , 0 , -   , -   , -   , -   , -   , 0 , 7 , 2 , 4 , -   , -   , -   , 44 
Fresno," 25,759 ", 35 , 88 , -   , 514 , 16 , 151 , 809 , -   , 35 , 291 , -   , 249 ," 1,249 "," 1,286 "," 1,765 ", -   ," 12,509 "," 6,762 "
Glenn, 600 , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , 383 , -   , 156 , -   , -   , -   , 57 , -   
Humboldt, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
