 COUNTY , TOTAL ORCH. VINE CROP , ALMOND , GRAPE , APPLE , APRICOT , AVOCADO , EXOTIC , CHERRY , NUTS OTHER , LEMON , CITRUS OTHER , DATE & FIG , FRUITS & NUTS UNSP. , KIWIFRUIT , NECTARINE , OLIVE , ORANGE , PEACH , PEAR , PISTACHIO , PLUM , WALNUT 
 Alameda ," 2,659 ", -   ," 2,427 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 232 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Alpine , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Amador ," 4,109 ", -   ," 3,911 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 73 , -   , -   , -   , -   , -   , -   , -   , -   , 125 
 Butte ," 89,497 "," 53,556 ", -   , -   , -   , -   , -   , -   , -   , -   , 255 , -   ," 5,541 ", 427 , -   , -   , -   ," 1,466 ", -   , 372 ," 4,825 "," 23,056 "
 Calaveras ," 1,480 ", -   , 903 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 167 , -   , -   , -   , -   , -   , 411 
 Colusa ," 105,105 "," 91,224 "," 2,176 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,113 ", -   , -   , -   , -   , -   , -   , -   , 245 ," 8,346 "
 Contra Costa ," 3,414 ", -   ," 2,196 ", -   , 91 , -   , -   , 557 , -   , -   , -   , -   , 63 , -   , 19 , 109 , -   , 120 , -   , -   , 21 , 239 
 Del Norte , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 El Dorado ," 3,659 ", -   ," 2,313 ", 895 , -   , -   , -   , 56 , -   , -   , -   , -   , -   , -   , -   , 37 , -   , 128 , 131 , -   , 41 , 58 
 Fresno ," 655,400 "," 303,711 "," 224,579 ", 174 ," 1,550 ", -   ," 4,253 "," 3,560 ", -   ," 3,511 "," 21,713 ", -   , -   , 485 ," 2,221 ", -   ," 32,869 "," 11,725 "," 1,452 "," 32,456 "," 6,669 "," 4,470 "
 Glenn ," 88,949 "," 64,238 ", 821 , -   , -   , -   , -   , -   , -   , -   , 229 , -   , -   , -   , -   ," 5,281 ", -   , -   , -   ," 1,108 "," 3,606 "," 13,667 "
 Humboldt , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Imperial , 23 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 23 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Inyo , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Kern ," 526,467 "," 271,878 "," 106,507 ", -   , -   , -   , -   ," 5,836 ", -   ," 4,973 "," 32,733 ", -   , -   , -   , 246 , -   ," 50,105 ", -   , -   ," 53,728 ", 45 , 414 
 Kings ," 74,569 "," 34,133 "," 7,838 ", -   ," 1,051 ", -   , -   ," 1,735 ", -   , -   , -   , -   ," 5,240 ", -   ," 1,057 ", -   , -   ," 1,584 ", -   ," 12,832 "," 1,588 "," 7,511 "
