 COUNTY , TOTAL ORCH. VINE CROP , ALMOND , GRAPE , APPLE , APRICOT , AVOCADO , EXOTIC , CHERRY , NUTS OTHER , LEMON , CITRUS OTHER , DATE & FIG , FRUITS & NUTS UNSP. , KIWIFRUIT , NECTARINE , OLIVE , ORANGE , PEACH , PEAR , PISTACHIO , PLUM , WALNUT ,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
 Alameda ," 2,659 ", -   ," 2,427 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 232 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 Alpine , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 Amador ," 4,109 ", -   ," 3,911 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 73 , -   , -   , -   , -   , -   , -   , -   , -   , 125 ,,,,
 Butte ," 88,786 "," 53,556 ", -   , -   , -   , -   , -   , -   , -   , -   , 307 , -   ," 3,462 ", 603 , -   , -   , -   ," 1,906 ", -   , 372 ," 5,524 "," 23,056 ",,,,
 Calaveras ," 1,480 ", -   , 903 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 167 , -   , -   , -   , -   , -   , 411 ,,,,
 Colusa ," 84,108 "," 70,770 "," 2,176 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,076 ", -   , -   , -   , -   , -   , -   , -   , 740 ," 8,346 ",,,,
 Contra Costa ," 3,414 ", -   ," 2,196 ", -   , 91 , -   , -   , 557 , -   , -   , -   , -   , 63 , -   , 19 , 109 , -   , 120 , -   , -   , 21 , 239 ,,,,
 Del Norte , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 El Dorado ," 3,462 ", -   ," 2,116 ", 895 , -   , -   , -   , 56 , -   , -   , -   , -   , -   , -   , -   , 37 , -   , 128 , 131 , -   , 41 , 58 ,,,,
 Fresno ," 578,937 "," 233,624 "," 204,791 ", 284 ," 1,550 ", -   ," 4,253 "," 3,560 ", -   ," 3,511 "," 21,713 ", -   , -   , 485 ," 9,014 ", -   ," 35,828 "," 17,477 "," 1,452 "," 26,290 "," 10,633 "," 4,470 ",,,,
 Glenn ," 80,747 "," 54,922 "," 1,043 ", -   , -   , -   , -   , -   , -   , -   , 425 , -   , -   , -   , -   ," 5,281 ", -   , -   , -   , 902 ," 4,507 "," 13,667 ",,,,
 Humboldt , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 Imperial , 23 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 23 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 Inyo , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 Kern ," 526,762 "," 271,878 "," 106,507 ", -   , -   , -   , -   ," 5,836 ", -   ," 4,513 "," 32,733 ", -   , -   , -   , 246 , -   ," 50,861 ", -   , -   ," 53,728 ", 45 , 414 ,,,,
