 COUNTY , HMS TOTAL ,CANNERY,DEHYD,FRESHFROZ,WINERY,BREWERY,DISTILLERY,RED MEAT,POULTRY MEAT,Unnamed: 10
 Alameda ," 27,811 ", 44 , 64 , 773 ," 4,058 "," 5,618 "," 9,738 "," 7,143 ", 372 ,
 Alpine , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Amador ," 1,158 ", -   , -   , -   ," 1,158 ", -   , -   , -   , -   ,
 Butte ," 27,827 ", 492 , 325 , -   , -   ," 27,009 ", -   , -   , -   ,
 Calaveras ," 1,066 ", -   , -   , -   ," 1,066 ", -   , -   , -   , -   ,
 Colusa , 220 , 220 , -   , -   , -   , -   , -   , -   , -   ,
 Contra Costa ," 1,263 ", -   , -   , 29 , 153 ," 1,080 ", -   , -   , -   ,
 Del Norte , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 El Dorado ," 1,281 ", -   , -   , -   ," 1,281 ", -   , -   , -   , -   ,
 Fresno ," 99,002 "," 2,872 "," 4,475 ", 364 ," 3,337 ", -   , -   ," 41,491 "," 46,462 ",
 Glenn , 753 , -   , -   , -   , -   , -   , -   , 753 , -   ,
 Humboldt ," 1,249 ", -   , -   , -   , 169 ," 1,080 ", -   , -   , -   ,
 Imperial ," 37,634 ", -   , -   , -   , -   , -   , -   ," 37,634 ", -   ,
 Inyo , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Kern ," 5,648 ", 549 , -   , 29 , 153 ," 4,916 ", -   , -   , -   ,
 Kings ," 20,408 "," 1,527 ", 64 , -   , -   , -   , -   ," 18,817 ", -   ,
 Lake , 990 , -   , -   , -   , 990 , -   , -   , -   , -   ,
 Lassen , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Los Angeles ," 182,001 ", 769 , 64 ," 4,924 "," 1,488 "," 72,007 "," 2,907 "," 90,549 "," 9,292 ",
 Madera ," 1,918 ", -   , -   , -   ," 1,918 ", -   , -   , -   , -   ,
 Marin ," 1,380 ", -   , -   , -   , 299 ," 1,080 ", -   , -   , -   ,
 Mariposa , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Mendocino ," 16,767 ", -   , -   , -   ," 5,639 "," 11,128 ", -   , -   , -   ,
 Merced ," 26,471 "," 1,971 ", 319 , 728 , 767 , -   , -   ," 4,101 "," 18,585 ",
 Modoc , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Mono ," 1,080 ", -   , -   , -   , -   ," 1,080 ", -   , -   , -   ,
 Monterey ," 2,814 ", -   , -   , 175 ," 2,639 ", -   , -   , -   , -   ,
 Napa ," 54,829 ", 549 , -   , -   ," 54,279 ", -   , -   , -   , -   ,
 Nevada , 199 , -   , -   , -   , 199 , -   , -   , -   , -   ,
 Orange ," 9,028 ", 44 , 64 , 287 , 153 ," 5,672 ", -   ," 2,436 ", 372 ,
 Placer , 261 , -   , -   , -   , 261 , -   , -   , -   , -   ,
 Plumas , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Riverside ," 15,130 ", 44 , 319 , 146 ," 5,785 "," 1,080 "," 2,907 ", 203 ," 4,646 ",
 Sacramento ," 3,970 "," 1,099 ", -   , -   , 552 ," 1,567 ", -   , 753 , -   ,
 San Benito ," 1,716 ", 549 , -   , -   ," 1,166 ", -   , -   , -   , -   ,
 San Bernardino ," 3,628 "," 1,552 ", 319 , 175 , 299 ," 1,080 ", -   , 203 , -   ,
 San Diego ," 50,417 ", -   , -   , 364 , 575 ," 48,725 ", -   , 753 , -   ,
 San Francisco ," 1,762 ", -   , -   , -   , 644 , 162 , -   , 956 , -   ,
 San Joaquin ," 24,273 "," 1,760 ", -   , 29 ," 11,753 ", -   , -   ," 5,471 "," 5,259 ",
