 COUNTY , LMS TOTAL ,ALMOND HULLS,ALMOND SHELLS,WALNUT SHELLS,OTHER NUT SHELLS,RICE HULLS,COTTON GIN TRASH,CANNERY,DEHYD,BAKERY,TORTILLA,GRAIN CHAFF, Total Pits 
 Alameda ," 6,285 ", -   , -   , -   , -   , -   , -   , 129 , 630 ," 4,527 ", 197 , -   , 802 
 Alpine , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Amador , 32 , -   , -   , 32 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Butte ," 178,770 "," 76,657 "," 18,252 "," 26,073 ", -   ," 52,991 ", -   ," 1,449 "," 3,214 ", -   , -   , 13 , 121 
 Calaveras , 254 , -   , -   , 251 , -   , -   , -   , -   , -   , -   , -   , -   , 3 
 Colusa ," 199,573 "," 89,052 "," 21,203 "," 10,447 ", -   ," 77,838 ", -   , 647 , -   , -   , -   , 367 , 19 
 Contra Costa ," 1,817 ", -   , -   , 355 , -   , -   , -   , -   , -   ," 1,276 ", -   , 101 , 84 
 Del Norte , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 El Dorado , 19 , -   , -   , 18 , -   , -   , -   , -   , -   , -   , -   , -   , 1 
 Fresno ," 581,439 "," 396,866 "," 94,492 "," 4,928 ", -   , -   ," 28,887 "," 8,453 "," 44,208 "," 1,221 ", 249 , 284 ," 1,851 "
 Glenn ," 156,131 "," 66,518 "," 15,838 "," 19,052 ", -   ," 52,195 "," 1,222 ", -   , -   , -   , -   ," 1,288 ", 19 
 Humboldt , 53 , -   , -   , -   , -   , -   , -   , -   , -   , 53 , -   , -   , 1 
 Imperial ," 3,202 ", -   , -   , -   , -   , -   ," 2,184 ", -   , -   , -   , -   ," 1,018 ", -   
 Inyo , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Kern ," 559,646 "," 431,915 "," 102,837 ", 433 , -   , -   ," 21,938 "," 1,617 ", -   , 53 , -   , 737 , 116 
 Kings ," 117,789 "," 46,275 "," 11,018 "," 10,044 ", -   , -   ," 44,846 "," 4,495 ", 630 , -   , -   , 385 , 97 
 Lake , 571 , -   , -   , 563 , -   , -   , -   , -   , -   , -   , -   , -   , 8 
 Lassen , 148 , -   , -   , -   , -   , 124 , -   , -   , -   , -   , -   , 24 , -   
 Los Angeles ," 22,167 ", -   , -   , -   , -   , -   , -   ," 2,263 ", 630 ," 13,589 ", 851 , -   ," 4,833 "
 Madera ," 266,837 "," 214,120 "," 50,981 "," 1,029 ", -   , -   , 526 , -   , -   , 53 , 10 , 95 , 23 
 Marin , 53 , -   , -   , -   , -   , -   , -   , -   , -   , 53 , -   , -   , 1 
 Mariposa , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mendocino , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
 Merced ," 301,516 "," 212,532 "," 50,603 "," 3,420 ", -   , -   ," 23,519 "," 5,801 "," 3,151 ", 53 , -   ," 1,161 "," 1,277 "
 Modoc , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mono , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Monterey , 900 , -   , -   , -   , -   , -   , -   , -   , -   , 525 , 10 , 7 , 358 
 Napa ," 1,693 ", -   , -   , -   , -   , -   , -   ," 1,617 ", -   , 53 , -   , -   , 24 
 Nevada , 53 , -   , -   , -   , -   , -   , -   , -   , -   , 53 , -   , -   , -   
 Orange ," 4,504 ", -   , -   , -   , -   , -   , -   , 129 , 630 ," 3,306 ", 50 , -   , 388 
 Placer ," 9,474 ", -   , -   , 644 , -   ," 8,821 ", -   , -   , -   , -   , -   , 8 , 1 
 Plumas , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Riverside ," 12,312 ", -   , -   , -   , -   , -   ," 7,521 ", 129 ," 3,151 ", 804 , 81 , 209 , 417 
 Sacramento ," 13,028 ", -   , -   , 664 , -   ," 5,997 ", -   ," 3,234 ", -   ," 1,956 ", 50 ," 1,080 ", 47 
 San Benito ," 2,242 ", -   , -   , 602 , -   , -   , -   ," 1,617 ", -   , -   , -   , -   , 24 
 San Bernardino ," 8,756 ", -   , -   , -   , -   , -   , -   ," 4,566 "," 3,151 ", 263 , 249 , -   , 528 
 San Diego ," 3,986 ", -   , -   , -   , 434 , -   , -   , -   , -   ," 2,768 ", 249 , -   , 535 
 San Francisco , 641 , -   , -   , -   , -   , -   , -   , -   , -   , 620 , -   , -   , 22 
