 COUNTY , TOTAL ORGANIC MSW ,LUMBER,PAPER,CARDBOARD,GREEN,FOOD,FOG,OTHER,Biosolids Flow Design,Biosolids Avg Flow
 Alameda ," 465,791 "," 101,542 "," 127,392 "," 28,008 "," 88,743 "," 39,974 ", 142 ," 79,989 "," 38,099 "," 24,668 "
 Alpine , 613 , 134 , 168 , 37 , 117 , 53 , 0 , 105 , -   , -   
 Amador ," 11,628 "," 2,535 "," 3,180 ", 699 ," 2,215 ", 998 , 4 ," 1,997 ", -   , -   
 Butte ," 75,590 "," 16,479 "," 20,674 "," 4,545 "," 14,402 "," 6,487 ", 21 ," 12,981 "," 1,701 "," 1,418 "
 Calaveras ," 13,361 "," 2,913 "," 3,654 ", 803 ," 2,545 "," 1,147 ", 4 ," 2,294 ", -   , -   
 Colusa ," 8,601 "," 1,875 "," 2,352 ", 517 ," 1,639 ", 738 , 2 ," 1,477 ", -   , -   
 Contra Costa ," 288,822 "," 62,961 "," 78,989 "," 17,366 "," 55,025 "," 24,786 ", 99 ," 49,597 "," 6,853 "," 4,744 "
 Del Norte ," 7,298 "," 1,591 "," 1,996 ", 439 ," 1,390 ", 626 , 3 ," 1,253 ", -   , -   
 El Dorado ," 59,076 "," 12,879 "," 16,157 "," 3,552 "," 11,255 "," 5,070 ", 17 ," 10,145 "," 1,191 ", 775 
 Fresno ," 302,427 "," 65,930 "," 82,714 "," 18,185 "," 57,619 "," 25,955 ", 88 ," 51,936 "," 15,436 "," 13,168 "
 Glenn ," 8,518 "," 1,857 "," 2,330 ", 512 ," 1,623 ", 731 , 3 ," 1,463 ", -   , -   
 Humboldt ," 33,816 "," 7,371 "," 9,248 "," 2,033 "," 6,442 "," 2,902 ", 13 ," 5,807 "," 1,418 "," 1,091 "
 Imperial ," 78,659 "," 17,149 "," 21,515 "," 4,730 "," 14,988 "," 6,751 ", 17 ," 13,509 "," 2,045 "," 1,289 "
