COUNTY,TOTAL   ROW CROP ,ARTICHOKE,ASPARAGUS,BEET,BERRY,BROCCOLI,CABBAGE ,CARROT,CAULIFLOWER,CELERY,CUCUMBER,GARLIC,LETTUCE,MELON,ONION,PEPPER,SQUASH,SPINACH & GREENS,SPICES & HERBS,VEG UNSP.,OTHER CRUCIFEROUS,VEG OTHER,BEAN & PEA,CORN SWEET,POTATO,TOMATO & EGGPLANT
Alameda, 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   
Alpine, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amador, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Butte, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   
Calaveras, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Colusa, 36 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 36 , -   , -   , -   , -   , -   ," 10,160 "
Contra Costa," 2,037 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , 117 , -   , -   , 58 ," 1,858 ", -   ," 1,701 "
Del Norte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
El Dorado, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Fresno," 38,465 ", -   , 85 , -   , 76 , 512 , -   , -   , -   , -   , -   ," 14,637 "," 1,478 "," 8,930 "," 9,726 ", 287 , 145 , -   , -   , -   , -   , -   , -   ," 2,588 ", -   ," 56,898 "
Glenn, 148 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 148 , -   , -   , -   , -   , -   , -   
Humboldt, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Imperial, 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   
Inyo, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Kern," 8,846 ", -   , -   , -   , 29 , -   , -   , -   , -   , -   , -   ," 2,760 ", 48 ," 1,078 "," 4,065 ", 865 , -   , -   , -   , -   , -   , -   , -   , -   ," 17,765 "," 8,575 "
Kings," 2,335 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,335 ", -   , -   , -   , -   , -   ," 20,411 "
Lake, 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   
Lassen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Los Angeles, 15 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 14 , -   , 4 
Madera, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,830 "
Marin, 75 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 75 , -   , -   , -   , -   , -   , -   
Mariposa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Mendocino, 60 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 60 , -   , -   , -   , -   , -   , -   
Merced," 4,260 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,296 ", -   , -   , -   , -   , -   , 964 , -   , -   , -   , -   ," 16,166 "," 15,796 "
Modoc, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Mono, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Monterey," 62,260 ", 912 , 135 , -   ," 1,510 "," 9,475 "," 2,792 "," 1,931 "," 2,929 "," 4,967 ", -   , -   ," 21,383 ", -   ," 1,814 ", 423 , 37 ," 4,514 ", 480 ," 6,569 "," 1,227 "," 1,023 ", 139 , -   , -   , 117 
Napa, 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , -   , -   , -   , -   
Nevada, 16 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 16 , -   , -   , -   , -   , -   , -   
Orange, 54 , -   , -   , -   , 45 , 0 , -   , -   , 0 , -   , 9 , -   , 0 , 0 , 0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Placer, 0 , -   , -   , -   , 0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Plumas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Riverside," 10,520 ", 174 , -   , -   , 55 , 269 , 8 ," 3,922 ", 149 , 290 , -   , -   , 467 ," 1,437 ", 116 ," 1,451 ", 60 , 190 , 192 , 150 , 79 , 705 , 189 , 616 ," 4,420 ", 139 
Sacramento, 330 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 329 , -   , -   , -   , -   , -   ," 1,837 "
San Benito," 3,723 ", -   , -   , -   , -   , 120 , 65 , -   , -   , 272 , -   , -   , 687 , -   , 390 , 780 , -   , 258 , -   ," 1,152 ", -   , -   , -   , -   , -   , 767 
San Bernardino," 1,461 ", -   , -   , 0 , 7 , -   ," 1,119 ", -   , -   , -   , 0 , -   , -   , 5 , 2 , -   , 17 , -   , 5 , 13 , -   , 292 , -   , -   , -   , 1 
San Diego, 633 , -   , -   , -   , 93 , -   , -   , -   , -   , -   , 25 , -   , -   , -   , -   , 73 , 99 , -   , 100 , 242 , -   , -   , -   , -   , 221 , 293 
