COUNTY,TOTAL   ROW CROP ,ARTICHOKE,ASPARAGUS,BEET,BERRY,BROCCOLI,CABBAGE ,CARROT,CAULIFLOWER,CELERY,CUCUMBER,GARLIC,LETTUCE,MELON,ONION,PEPPER,SQUASH,SPINACH & GREENS,SPICES & HERBS,VEG UNSP.,OTHER CRUCIFEROUS,VEG OTHER,BEAN & PEA,CORN SWEET,POTATO,TOMATO & EGGPLANT
Alameda, 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   
Alpine, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amador, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Butte, 43 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 43 , -   , -   , -   , -   , -   , -   
Calaveras, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Colusa," 13,419 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 23 , -   , -   , -   , -   , -   ," 13,395 "
Contra Costa," 3,543 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 2 , -   , -   , 126 , -   , -   , 63 ," 1,899 ", -   ," 1,452 "
Del Norte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
El Dorado, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Fresno," 114,136 ", -   , 36 , -   , 77 ," 1,565 ", -   , -   , -   , -   , -   ," 15,516 "," 1,846 "," 6,693 "," 21,304 ", 806 , 183 , -   , -   , -   , -   , -   , -   ," 4,725 ", -   ," 61,385 "
Glenn, 41 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 41 , -   , -   , -   , -   , -   , -   
Humboldt, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Imperial, 9 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0 , -   , -   , -   , -   , 8 , -   
