 COUNTY , TOTAL      ROW CROP , ARTICHOKE , ASPARAGUS , BEET , BERRY , BROCCOLI , CABBAGE  , CARROT , CAULIFLOWER , CELERY , CUCUMBER , GARLIC , LETTUCE , MELON , ONION , PEPPER , POTATO , SQUASH , SPINACH & GREENS , SPICES & HERBS , TOMATO& EGGPLANT , VEG UNSP. , OTHER CRUCIFEROUS , VEG OTHER , BEAN & PEA , CORN SWEET 
 Alameda , 14 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 14 , -   , -   , -   , -   
 Alpine , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Amador , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Butte , 62 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 62 , -   , -   , -   , -   
 Calaveras , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Colusa ," 3,767 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,733 ", 34 , -   , -   , -   , -   
 Contra Costa ," 11,915 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , 7 , -   , -   , 492 , 181 , -   , -   , 113 ," 11,120 "
 Del Norte , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 El Dorado , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Fresno ," 66,395 ", -   , 283 , -   , 509 ," 1,229 ", -   , -   , -   , -   , -   ," 4,692 "," 2,059 "," 3,061 "," 5,523 ", 272 , -   , 425 , -   , -   ," 18,871 ", -   , -   , -   , -   ," 29,471 "
