 County , Total Pits , Apricot Pits ,Cherry Pits,Prune and Plum Pits,Peach Pits,Nectarine Pits,Olive Pits Canning,Olive Pits Olive Oil,Olive Pits Other
 Alameda , 802 , 28 , 1 , 45 , 728 , -   , -   , -   , -   
 Alpine , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Amador , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Butte , 121 , 21 , 2 , 76 , 19 , -   , -   , -   , 3 
 Calaveras , 3 , -   , -   , -   , -   , -   , -   , 3 , 0 
 Colusa , 19 , 10 , 2 , 7 , 1 , -   , -   , -   , -   
 Contra Costa , 84 , 3 , 0 , 0 , 81 , -   , -   , -   , 0 
 Del Norte , -   , -   , -   , -   , -   , -   , -   , -   , -   
 El Dorado , 1 , 1 , 0 , -   , -   , -   , -   , -   , -   
 Fresno ," 1,851 ", 201 , 12 ," 1,048 ", 590 , -   , -   , -   , -   
 Glenn , 19 , 1 , 0 , 7 , 1 , -   , -   , -   , 10 
 Humboldt , 1 , 1 , 0 , -   , -   , -   , -   , -   , -   
 Imperial , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Inyo , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Kern , 116 , 23 , 3 , 7 , 82 , -   , -   , -   , -   
 Kings , 97 , 43 , 6 , 44 , 3 , -   , -   , -   , -   
 Lake , 8 , 1 , -   , 7 , 1 , -   , -   , -   , 0 
 Lassen , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Los Angeles ," 4,833 ", 162 , 5 , 49 ," 4,617 ", -   , -   , -   , -   
 Madera , 23 , 2 , 0 , 7 , 14 , -   , -   , -   , 0 
 Marin , 1 , 1 , 0 , -   , -   , -   , -   , -   , -   
 Mariposa , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mendocino , 5 , -   , -   , -   , -   , -   , -   , 5 , -   
 Merced ," 1,277 ", 91 , 8 , 131 ," 1,046 ", -   , -   , -   , -   
 Modoc , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mono , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Monterey , 358 , 12 , 0 , 25 , 321 , -   , -   , -   , -   
 Napa , 24 , 20 , 3 , -   , -   , -   , -   , -   , 0 
 Nevada , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Orange , 388 , 17 , 1 , 45 , 326 , -   , -   , -   , -   
 Placer , 1 , 1 , 0 , -   , -   , -   , -   , -   , -   
 Plumas , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Riverside , 417 , 24 , 1 , 131 , 261 , -   , -   , -   , -   
 Sacramento , 47 , 41 , 7 , -   , -   , -   , -   , -   , -   
 San Benito , 24 , 20 , 3 , -   , -   , -   , -   , -   , 0 
 San Bernardino , 528 , 61 , 6 , 131 , 329 , -   , -   , -   , -   
 San Diego , 535 , 16 , 0 , 8 , 512 , -   , -   , -   , -   
 San Francisco , 22 , 1 , -   , 7 , 14 , -   , -   , -   , -   
 San Joaquin ," 2,621 ", 46 , 7 , 0 , 81 , -   ," 2,117 ", 364 , 5 
 San Luis Obispo , 13 , 0 , -   , 0 , 13 , -   , -   , -   , -   
 San Mateo , 87 , 5 , 1 , 0 , 81 , -   , -   , -   , -   
 Santa Barbara , 563 , 15 , -   , 1 , 547 , -   , -   , -   , -   
 Santa Clara , 601 , 48 , 2 , 280 , 272 , -   , -   , -   , -   
 Santa Cruz , 269 , 27 , 3 , 0 , 238 , -   , -   , -   , -   
 Shasta , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Sierra , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Siskiyou , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Solano ," 1,165 ", 36 , 1 , 280 , 102 , -   , -   , 746 , 0 
 Sonoma ," 2,476 ", 72 , 1 , 2 ," 2,401 ", -   , -   , -   , -   
 Stanislaus , 659 , 153 , 17 , 442 , 46 , -   , -   , -   , -   
 Sutter , 665 , 62 , 0 , 560 , 42 , -   , -   , -   , 1 
 Tehama ," 1,861 ", 21 , 3 , 7 , 1 , -   ," 1,494 ", 320 , 15 
 Trinity , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Tulare ," 3,032 ", 91 , 4 , 2 ," 2,469 ", -   , -   , 460 , 6 
 Tuolumne , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Ventura , 237 , 10 , 1 , 7 , 219 , -   , -   , -   , -   
 Yolo ," 1,262 ", 42 , 7 , 7 , 14 , -   , -   ," 1,189 ", 4 
 Yuba , 8 , 1 , -   , 7 , 1 , -   , -   , -   , -   
 Other , 62 , -   , -   , -   , -   , -   , -   , 62 , 1 
 Total ," 27,184 "," 1,430 ", 106 ," 3,371 "," 15,471 ", -   ," 3,611 "," 3,148 ", 47 
