id,longitude,latitude,state_name,state_abbrev,county_name,fips,bt23_scenario,resource_price,resource_type,resource,resource_amount,resource_units,data_source,data_source_url
1,-120.42482136467501,38.497967806946,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.319253,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
2,-120.673096813858,38.3809945430019,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.3274012,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
3,-120.83725277379999,38.4628436024215,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.42869714,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
4,-120.881195399925,38.308332388346706,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.2906926,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
5,-120.889227276593,38.42072423490411,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.7320889,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
6,-120.67059872150101,38.4807642520803,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.32452404,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
7,-120.876730841539,38.5140642451475,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,1.297104,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
8,-120.93633491375601,38.3962183645881,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.64974254,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
9,-120.571261878427,38.4433169931411,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.27144536,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
10,-120.980711271517,38.4313616673618,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.7256401,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
11,-120.89585668162901,38.3625418006395,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.64478195,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
12,-120.218768626486,38.500562480985295,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.04960624,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
13,-120.956778249574,38.3191137679427,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.19663915,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
14,-120.75671523946801,38.417098536832,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.23543124,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
15,-120.78605593444999,38.321606161972106,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.3897066,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
16,-120.835407849826,38.384882604176205,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.6862528,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
17,-120.99980745892799,38.3670475659595,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.3884169,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
18,-120.956210988409,38.5000937755781,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.5855521,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
19,-120.753917334599,38.5108280455884,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.31321383,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
20,-120.999030810277,38.4818870931588,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.5881316,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
21,-120.625191519821,38.4212504169662,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.34148937,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
22,-120.519262651801,38.4445447322808,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.17233208,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
23,-120.647808821001,38.4950091534714,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.27759653,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
