id,longitude,latitude,state_name,state_abbrev,county_name,fips,bt23_scenario,resource_price,resource_type,resource,resource_amount,resource_units,data_source,data_source_url
1,-123.855396383941,41.8480160963635,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,37.06913,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
2,-123.82736702268,41.9540364557145,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,44.356293,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
3,-123.909164761889,41.6382954960368,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,37.78032,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
4,-123.85017379332199,41.9117039524105,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.3426063,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
5,-123.926343070052,41.4872211592046,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.4042354,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
6,-123.764021654244,41.7700633554481,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.0397543,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
7,-124.131211320624,41.7402629321944,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.1788924,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
8,-123.89375370968901,41.6587212052633,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.1841856,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
9,-124.053314902149,41.5803848118548,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.7963172,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
10,-123.721298576922,41.4207738133331,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,0.4423682,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
11,-123.989478201491,41.5311011517024,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,2.0798867,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
12,-124.021364400618,41.65142900218729,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.8186247,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
13,-124.09873768103901,41.934479380221205,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.4197372,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
14,-123.97045369448799,41.5947317676344,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,2.5328414,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
15,-124.092122234826,41.62658788713429,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.6639849,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
16,-123.920953016439,41.801611855816205,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,0.8945667,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
17,-124.177292116616,41.9594319532627,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.8216494,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
18,-124.106475699009,41.866253257209294,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.3199208,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
19,-123.79498812323901,41.5743958774171,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,0.8752841,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
20,-124.03527422667601,41.82933119911829,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.3187865,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
21,-124.03252329108999,41.5619425928151,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,7.027226,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
22,-124.075785881775,41.663693818241896,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,6.1441917,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
23,-123.67493786939801,41.9320768320362,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,4.252406,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
24,-124.026765306096,41.7323955233407,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,5.3146567,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
25,-123.83480304643899,41.8137998720406,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,4.5091305,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
26,-124.119666149267,41.737539866185,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,5.028063,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
27,-124.07279192206,41.608406703713,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,6.210736,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
28,-124.034137351777,41.495098193684704,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,7.1213717,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
29,-123.992296586798,41.6271515175379,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,4.368102,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
30,-123.947229195282,41.5695966059056,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,6.549696,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
31,-123.860551294114,41.5039528081156,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,3.7901878,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
32,-124.126706418911,41.9588087377424,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,10.156698,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
33,-123.914121147656,41.686041454107,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,5.1571813,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
34,-124.10961353915701,41.850592317619096,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,10.683569,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
35,-123.965600398725,41.501233038752105,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,5.3363967,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
36,-123.70579667017799,41.440753492220395,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,2.698824,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
37,-123.747290488568,41.7434119502594,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,2.8498719,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
38,-123.79154190307399,41.8956418431958,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,4.30704,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
39,-123.800659028028,41.644752653671105,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,3.4109612,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
40,-123.961448730014,41.815182994006705,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,3.8015306,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
41,-124.04317076737301,41.4962444872771,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.5263593,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
42,-123.635992132519,41.922101091476605,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,0.67489505,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
43,-124.007864443289,41.7306766425642,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.3255922,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
44,-123.698508273423,41.4328539667506,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,43.34206,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
45,-123.723190535182,41.9040414980869,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,39.82089,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
46,-124.100079379053,41.799465403098395,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,39.786858,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
47,-123.82488592276,41.5732476017759,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,33.344166,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
48,-123.810423879047,41.4981567510105,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,29.177017,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
49,-123.973331345809,41.7816687202175,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,40.41676,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
50,-124.079555779074,41.9516385549924,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,39.357536,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
51,-123.7252612151,41.718391256604704,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,33.532642,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
52,-123.98236011914601,41.8859190709487,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,30.136425,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
53,-123.749973442958,41.8045821137017,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,34.589222,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
54,-124.02247393449301,41.576068992852704,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,19.99542,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
55,-124.055488566749,41.687810004298704,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,38.03421,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
56,-123.868191558103,41.7309563389262,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,43.632816,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
57,-123.700726288623,41.5218681922082,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,37.160248,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
58,-123.765563401039,41.6397571279665,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,38.135727,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
59,-123.937567218575,41.510212953118206,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,29.181175,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
60,-123.616346198974,41.956249898809396,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,41.172756,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
61,-123.855396383941,41.8480160963635,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,49.64799,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
62,-123.82736702268,41.9540364557145,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,59.407944,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
63,-123.909164761889,41.6382954960368,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,50.600513,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
64,-123.85017379332199,41.9117039524105,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.7981999,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
